feature	cluster	vt_score
B3GNT4	1	3.2065767413033646
B3GNT6	1	3.6794366523558546
B4GALNT2	1	3.8420458682999428
B4GALNT4	4	2.2822950167549627
B4GALT1	3	3.6071281158299535
B4GALT6	2	2.8896421210942185
BAALC	5	2.0760420599658738
BACE2	2	2.510885926774803
BAG3	5	2.8192987424834346
BAIAP2L1	3	2.063049630992956
BAIAP3	4	2.388825946873261
BAMBI	5	2.1585686301369007
BARHL1	4	3.082879527833402
BARHL2	1	2.0706316143505163
BARX1	3	2.6235238241007766
BATF2	5	3.44966377901906
BBOX1	4	2.429267395087033
BCAS1	1	2.6773994966429444
BCAT1	2	2.9160199124439594
BCHE	5	2.6551595487440416
BCL11A	4	2.5745208268135675
BCL11B	5	2.420507903742912
BCL2L10	1	3.721144393097145
BCL2L15	1	4.00278607885861
BCL2L2-PABPN1	1	2.496392702558212
BCL3	3	4.094582644274774
BCO1	1	2.7630626859508514
BCO2	1	3.1919216640899033
BDKRB2	5	2.8473574301289535
BDNF	3	3.536495873145802
BEND4	5	2.5233248088974776
BEST1	1	3.531725900499892
BEST2	1	2.073512913782403
BEST4	1	3.08274768799969
BFSP1	3	2.0477888337118046
BFSP2	1	3.490938292917681
BGLAP	1	3.2234406564488656
BHLHA15	4	2.276330710547641
BHLHA9	1	3.2956891001736763
BHLHE23	1	3.0861286988548904
BHLHE41	5	2.101648848803804
BICDL1	1	4.757290599666214
BICDL2	1	3.7833670459546274
BIRC5	3	2.9955389514114974
BIRC7	4	2.588696715063786
BIRC8	1	2.2281450699399645
BLID	3	2.4456654139788405
BLK	1	2.1145185737248817
BMP10	1	2.509218352837865
BMP15	1	2.0771081742392563
BMP8A	5	2.859524997729566
BMP8B	5	2.59180682158626
BOD1L2	1	2.6738660381126795
BOLA1	5	2.0853747040845247
BPIFB2	5	3.9400076064101466
BPIFB3	5	3.8640959065257587
BPIFB4	5	4.403301115146396
BPIFB6	4	2.1809217245515384
BRICD5	1	3.7851783199118443
BRINP2	1	2.0092442937366233
BRIP1	3	2.74812785069259
BSCL2	2	3.7247634855348375
BSN	1	4.291955814633361
BSND	1	2.489514274189895
BSPRY	1	3.470767114137334
BST1	3	2.858927740520132
BSX	1	2.6227825397404074
BTBD16	1	2.409478167044805
BTBD18	1	2.449713566350329
BTBD19	3	2.5947744310033225
BTC	5	2.8597239514154245
BTG2	5	2.306364451835708
BTNL8	2	2.153281898567921
BUB1	3	3.466856284595133
BUB1B	3	2.5677577759922823
BUB1B-PAK6	1	2.5027142397770796
BVES	5	2.3087995344787453
BX004987.1	1	2.745074866064029
BX276092.9	1	2.472992434134972
C10orf107	5	2.8372459940060506
C10orf113	1	2.7188774920674637
C10orf120	1	2.0164075425875776
C10orf126	1	2.8888527372452346
C10orf128	1	3.094696752784238
C10orf142	1	2.3608735678115873
C10orf53	1	2.9460809038933204
C10orf62	4	2.04765019870292
C10orf67	5	2.009311949797357
C10orf71	1	2.4838071827381736
C10orf82	1	2.4405772369538083
C10orf95	1	3.4396044394810477
C11orf16	1	2.4664328826164446
C11orf21	1	2.8895707523087037
C11orf42	4	2.144458205752633
C11orf45	1	2.4196972775012013
C11orf53	1	2.7617803105666456
C11orf63	5	3.1214241661734534
C11orf86	5	2.748980969904536
C11orf91	1	2.08832989423169
C11orf94	4	2.321004525812846
C11orf96	5	2.6002329712847545
C12orf40	1	2.4740987632985982
C12orf42	4	2.3725682484598383
C12orf50	1	2.322662716155968
C12orf54	4	2.1082709170738005
C12orf71	4	2.0268882843168914
C12orf75	3	4.012476587843837
C14orf132	4	2.3684026921403056
C14orf180	1	2.787615870552666
C15orf53	1	2.2150025996995026
C15orf61	4	3.580462849675166
C15orf62	1	3.0920281481558214
C16orf59	3	3.090595054172782
C16orf71	5	2.0653703767946165
C16orf78	1	2.002469526224908
C16orf89	4	2.5896753949506897
C16orf90	1	2.585532800347941
C16orf92	1	2.3962614369078556
C17orf100	4	2.398127660547866
C17orf105	1	2.467680373918356
C17orf107	1	4.892967683092678
C17orf47	1	3.400259132658891
C17orf50	1	4.963339397440508
C19orf33	1	3.1457161247074636
C19orf35	5	3.205328658201101
C19orf38	5	2.8335228107675583
C19orf67	1	2.8277446095936694
C19orf71	1	2.6814147648254365
C19orf73	1	2.5523820789100116
C19orf84	5	2.4775351978787072
